temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante,penales,pen_local,,pen_visitante,Score,,,,,,,
2025/26,Apertura,14,2025-10-22,19:00,Pachuca,UANL,1,2,FALSE,,,,1–2,,,,"10,485",Estadio Hidalgo,Abraham Quirarte,Match Report
2025/26,Apertura,14,2025-10-22,21:00,Tijuana,Toluca,0,0,FALSE,,,,0–0,,,,"23,333",Estadio Caliente,Oscar Mejía,Match Report
2025/26,Apertura,14,2025-10-22,21:00,Atlas,Leon,2,0,FALSE,,,,2–0,,,,"16,256",Estadio Jalisco,Ismael López,Match Report
2025/26,Apertura,14,2025-10-22,21:05,UNAM,Atlético San Luis,0,1,FALSE,,,,0–1,,,,"10,235",Estadio Olímpico de Universitario,Luis García,Match Report
2025/26,Apertura,15,2025-10-24,19:00,FC Juárez,Puebla,4,4,FALSE,,,,4–4,,,,"7,006",Estadio Olímpico Benito Juárez,Fernando Hernández,Match Report
2025/26,Apertura,15,2025-10-24,21:00,Mazatlan,America,2,2,FALSE,,,,2–2,,,,"18,660",Estadio El Encanto,Guillermo Pacheco,Match Report
2025/26,Apertura,15,2025-10-25,17:00,UANL,Tijuana,2,0,FALSE,,,,2–0,,,,"41,615",Estadio Universitario de Nuevo Leon,Jorge Camacho,Match Report
2025/26,Apertura,15,2025-10-25,19:00,Leon,UNAM,1,1,FALSE,,,,1–1,,,,"21,151",Estadio Leon,Adonai Escobedo,Match Report
2025/26,Apertura,15,2025-10-25,19:07,Guadalajara,Atlas,4,1,FALSE,,,,4–1,,,,"40,699",Estadio Akron,Marco Antonio Ortíz,Match Report
2025/26,Apertura,15,2025-10-25,21:05,Cruz Azul,Monterrey,2,0,FALSE,,,,2–0,,,,"18,406",Estadio Olímpico de Universitario,Daniel Quintero,Match Report
2025/26,Apertura,15,2025-10-26,17:00,Santos Laguna,Queretaro,3,1,FALSE,,,,3–1,,,,"8,563",Estadio Nuevo Corona,Katia García,Match Report
2025/26,Apertura,15,2025-10-26,19:00,Atlético San Luis,Necaxa,3,4,FALSE,,,,3–4,,,,"12,494",Estadio Alfonso Lastras Ramírez,Luis Enrique Santander,Match Report
2025/26,Apertura,15,2025-10-26,19:00,Toluca,Pachuca,2,2,FALSE,,,,2–2,,,,"24,000",Estadio Nemesio Díez,Jesús López,Match Report
2025/26,Apertura,16,2025-10-31,19:00,Necaxa,Santos Laguna,4,1,FALSE,,,,4–1,,,,"14,747",Estadio Victoria de Aguascalientes,Jesús López,Match Report
2025/26,Apertura,16,2025-10-31,21:00,Atlético San Luis,FC Juárez,1,2,FALSE,,,,1–2,,,,"10,237",Estadio Alfonso Lastras Ramírez,Daniel Quintero,Match Report
2025/26,Apertura,16,2025-10-31,21:05,Puebla,Cruz Azul,0,3,FALSE,,,,0–3,,,,"25,644",Estadio Cuauhtémoc,Guillermo Pacheco,Match Report
2025/26,Apertura,16,2025-11-01,17:00,Atlas,Toluca,0,0,FALSE,,,,0–0,,,,"15,921",Estadio Jalisco,Fernando Hernández,Match Report
2025/26,Apertura,16,2025-11-01,19:05,Monterrey,UANL,1,1,FALSE,,,,1–1,,,,"50,447",Estadio BBVA,César Arturo Ramos,Match Report
2025/26,Apertura,16,2025-11-01,21:10,America,Leon,2,0,FALSE,,,,2–0,,,,"20,029",Estadio de la Ciudad de los Deportes,Víctor Cáceres,Match Report
2025/26,Apertura,16,2025-11-02,12:00,UNAM,Tijuana,4,1,FALSE,,,,4–1,,,,"13,901",Estadio Olímpico de Universitario,Maximiliano Quintero,Match Report
2025/26,Apertura,16,2025-11-02,17:00,Queretaro,Mazatlan,1,0,FALSE,,,,1–0,,,,"8,803",Estadio La Corregidora,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,16,2025-11-02,19:00,Pachuca,Guadalajara,0,1,FALSE,,,,0–1,,,,"14,967",Estadio Hidalgo,Adonai Escobedo,Match Report
2025/26,Apertura,17,2025-11-07,19:00,FC Juárez,Queretaro,1,2,FALSE,,,,1–2,,,,"8,556",Estadio Olímpico Benito Juárez,Vicente Arce,Match Report
2025/26,Apertura,17,2025-11-07,21:00,Tijuana,Atlas,2,0,FALSE,,,,2–0,,,,"18,733",Estadio Caliente,Ismael López,Match Report
2025/26,Apertura,17,2025-11-07,21:00,Mazatlan,Necaxa,1,1,FALSE,,,,1–1,,,,"9,546",Estadio El Encanto,Katia García,Match Report
2025/26,Apertura,17,2025-11-08,17:00,UANL,Atlético San Luis,3,1,FALSE,,,,3–1,,,,"41,615",Estadio Universitario de Nuevo Leon,Iván López,Match Report
2025/26,Apertura,17,2025-11-08,17:07,Guadalajara,Monterrey,4,2,FALSE,,,,4–2,,,,"40,396",Estadio Akron,Oscar Mejía,Match Report
2025/26,Apertura,17,2025-11-08,19:00,Toluca,America,2,0,FALSE,,,,2–0,,,,"27,273",Estadio Nemesio Díez,Luis Enrique Santander,Match Report
2025/26,Apertura,17,2025-11-08,19:00,Leon,Puebla,1,2,FALSE,,,,1–2,,,,"25,032",Estadio Leon,Karen Hernández,Match Report
2025/26,Apertura,17,2025-11-08,21:05,Cruz Azul,UNAM,2,3,FALSE,,,,2–3,,,,"36,025",Estadio Cuauhtémoc,Fernando Hernández,Match Report
2025/26,Apertura,17,2025-11-09,17:00,Santos Laguna,Pachuca,1,0,FALSE,,,,1–0,,,,"8,740",Estadio Nuevo Corona,Marco Antonio Ortíz,Match Report
2025/26,Apertura,17,2025-11-20,21:00,Tijuana,FC Juárez,3,1,FALSE,,,,3–1,,,,"13,800",Estadio Caliente,Marco Antonio Ortíz,Match Report
2025/26,Apertura,17,2025-11-20,19:00,Pachuca,UNAM,3,1,FALSE,,,,3–1,,,,"12,385",Estadio Hidalgo,Luis Enrique Santander,Match Report
2025/26,Apertura,17,2025-11-23,19:00,FC Juárez,Pachuca,2,1,FALSE,,,,2–1,,,,"12,500",Estadio Olímpico Benito Juárez,Oscar Mejía,Match Report
2025/26,Apertura,17,2025-11-26,19:00,FC Juárez,Toluca,1,2,FALSE,,,,1–2,,,,"14,500",Estadio Olímpico Benito Juárez,Maximiliano Quintero,Match Report
2025/26,Apertura,17,2025-11-26,23:00,Tijuana,UANL,3,0,FALSE,,,,3–0,,,,"20,733",Estadio Caliente,Vicente Arce,Match Report
2025/26,Apertura,17,2025-11-26,21:05,Monterrey,America,2,0,FALSE,,,,2–0,,,,"43,688",Estadio BBVA,Jesús López,Match Report
